package,assertion_tested,exact_match,top_5,all_method_suggested
org.apache.commons.validator.util,12,12,12,12
org.apache.commons.validator.routines,1132,614,972,1132
org.apache.commons.validator,284,55,119,283
org.apache.commons.validator.routines.checkdigit,13,6,10,10
total:,1441,687,1113,1437
