package,assertion_tested,exact_match,top_10,all_method_suggested
org.apache.commons.codec.net,60,40,57,60
org.apache.commons.codec.binary,72,59,72,72
org.apache.commons.codec.language,300,273,300,300
org.apache.commons.codec,19,4,5,5
org.apache.commons.codec.digest,81,67,81,81
total:,532,443,515,518
