package,assertion_tested,exact_match,top_1,all_method_suggested
org.apache.commons.codec.net,60,40,40,60
org.apache.commons.codec.binary,72,59,64,72
org.apache.commons.codec.language,300,273,273,300
org.apache.commons.codec,19,4,4,5
org.apache.commons.codec.digest,81,67,67,81
total:,532,443,448,518
