class,missed_branch, covered_branch, total_branch  
org.jsoup.parser.TokeniserState$34,1,6,7
org.jsoup.parser.TokeniserState$35,3,5,8
org.jsoup.select.Evaluator$IndexLessThan,0,2,2
org.jsoup.nodes.Attributes,9,57,66
org.jsoup.parser.TokeniserState$36,4,4,8
org.jsoup.parser.TokeniserState$37,3,6,9
org.jsoup.parser.TokeniserState$30,5,0,5
org.jsoup.parser.TokeniserState$31,6,0,6
org.jsoup.parser.TokeniserState$32,1,1,2
org.jsoup.helper.W3CDom,0,2,2
org.jsoup.nodes.Entities$EscapeMode,0,8,8
org.jsoup.parser.XmlTreeBuilder,5,24,29
org.jsoup.select.CombiningEvaluator,1,1,2
org.jsoup.nodes.Document$OutputSettings,1,1,2
org.jsoup.select.Evaluator$IsRoot,0,4,4
org.jsoup.helper.StringUtil,2,58,60
org.jsoup.parser.TokeniserState$38,2,7,9
org.jsoup.parser.TokeniserState$39,3,6,9
org.jsoup.nodes.Attributes$Dataset$EntrySet,0,2,2
org.jsoup.parser.TokeniserState$45,4,1,5
org.jsoup.nodes.Attributes$Dataset,1,3,4
org.jsoup.parser.TokeniserState$46,5,0,5
org.jsoup.parser.TokeniserState$47,0,4,4
org.jsoup.select.StructuralEvaluator$Parent,0,6,6
org.jsoup.helper.Validate,6,18,24
org.jsoup.parser.TokeniserState$48,2,2,4
org.jsoup.parser.TokeniserState$41,0,5,5
org.jsoup.select.Evaluator$IsLastChild,0,6,6
org.jsoup.parser.TokeniserState$42,1,2,3
org.jsoup.parser.TokeniserState$44,1,5,6
org.jsoup.parser.TokeniserState$40,6,5,11
org.jsoup.parser.HtmlTreeBuilderState$2,6,10,16
org.jsoup.parser.HtmlTreeBuilderState$1,0,8,8
org.jsoup.parser.HtmlTreeBuilderState$4,4,27,31
org.jsoup.parser.HtmlTreeBuilderState$3,7,13,20
org.jsoup.nodes.Attribute,14,22,36
org.jsoup.select.Evaluator$CssNthEvaluator,4,12,16
org.jsoup.parser.HtmlTreeBuilderState$9,9,37,46
org.jsoup.parser.HtmlTreeBuilderState$6,6,16,22
org.jsoup.parser.TokeniserState$49,5,1,6
org.jsoup.parser.HtmlTreeBuilderState$5,7,21,28
org.jsoup.parser.HtmlTreeBuilderState$8,1,5,6
org.jsoup.parser.HtmlTreeBuilderState$7,93,205,298
