package,assertion_tested,exact_match,top_1,all_method_suggested
org.joda.time.field,631,377,420,631
org.joda.time,11142,1540,1888,7195
org.joda.time.convert,343,40,50,245
org.joda.time.tz,33,11,11,27
org.joda.time.chrono,1933,83,83,471
org.joda.time.format,1693,243,243,1201
total:,15775,2294,2695,9770
