package,assertion_tested,exact_match,top_5,all_method_suggested
org.joda.time.field,631,377,553,631
org.joda.time,11142,1540,5142,7195
org.joda.time.convert,343,40,141,245
org.joda.time.tz,33,11,21,27
org.joda.time.chrono,1933,83,234,471
org.joda.time.format,1693,243,696,1201
total:,15775,2294,6787,9770
