class,missed_branch, covered_branch, total_branch  
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,2,0,2
org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNumberRule,4,0,4
org.apache.commons.lang3.builder.MultilineRecursiveToStringStyle,1,7,8
org.apache.commons.lang3.time.FastDatePrinter$DayInWeekField,2,0,2
org.apache.commons.lang3.Conversion,84,376,460
org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$CheckIntervalData,2,0,2
org.apache.commons.lang3.concurrent.BasicThreadFactory,10,0,10
org.apache.commons.lang3.concurrent.ConstantInitializer,6,0,6
org.apache.commons.lang3.AnnotationUtils$1,4,4,8
org.apache.commons.lang3.CharRange$CharacterIterator,0,18,18
org.apache.commons.lang3.builder.ToStringBuilder,0,12,12
org.apache.commons.lang3.ThreadUtils,46,0,46
org.apache.commons.lang3.concurrent.AbstractCircuitBreaker,8,0,8
org.apache.commons.lang3.reflect.TypeUtils$ParameterizedTypeImpl,3,3,6
org.apache.commons.lang3.RandomStringUtils,0,58,58
org.apache.commons.lang3.builder.DiffResult,0,12,12
org.apache.commons.lang3.mutable.MutableBoolean,0,10,10
org.apache.commons.lang3.text.StrBuilder,22,510,532
org.apache.commons.lang3.ClassUtils$1$1,0,2,2
org.apache.commons.lang3.time.FastDateParser$6,2,0,2
org.apache.commons.lang3.text.StrTokenizer,2,90,92
org.apache.commons.lang3.exception.ContextedException,0,2,2
org.apache.commons.lang3.time.FastDateParser$5,2,0,2
org.apache.commons.lang3.mutable.MutableFloat,0,4,4
org.apache.commons.lang3.time.FastDateParser$4,2,0,2
org.apache.commons.lang3.text.WordUtils,1,95,96
org.apache.commons.lang3.time.FastDateParser$2,2,0,2
org.apache.commons.lang3.time.FastDatePrinter$Iso8601_Rule,12,0,12
org.apache.commons.lang3.CharSetUtils,1,53,54
org.apache.commons.lang3.concurrent.Memoizer,10,0,10
org.apache.commons.lang3.time.FastDateParser$CopyQuotedStrategy,6,0,6
org.apache.commons.lang3.builder.ToStringStyle,17,201,218
org.apache.commons.lang3.reflect.MethodUtils,19,129,148
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,14,0,14
org.apache.commons.lang3.ArrayUtils,95,1453,1548
org.apache.commons.lang3.ArchUtils,1,3,4
org.apache.commons.lang3.CharSequenceUtils,12,58,70
org.apache.commons.lang3.CharUtils,0,54,54
org.apache.commons.lang3.text.StrMatcher,0,12,12
org.apache.commons.lang3.LocaleUtils,6,82,88
org.apache.commons.lang3.mutable.MutableDouble,0,4,4
org.apache.commons.lang3.text.StrMatcher$TrimMatcher,0,2,2
org.apache.commons.lang3.ObjectUtils,1,87,88
org.apache.commons.lang3.time.FastDatePrinter$TwentyFourHourField,2,0,2
org.apache.commons.lang3.mutable.MutableShort,0,4,4
org.apache.commons.lang3.Range,6,70,76
org.apache.commons.lang3.text.translate.EntityArrays,0,2,2
org.apache.commons.lang3.builder.DiffBuilder,3,111,114
org.apache.commons.lang3.builder.CompareToBuilder,30,210,240
org.apache.commons.lang3.time.FastDateFormat,2,0,2
org.apache.commons.lang3.StringEscapeUtils$CsvEscaper,0,4,4
org.apache.commons.lang3.event.EventListenerSupport,3,3,6
org.apache.commons.lang3.time.DateUtils$DateIterator,2,0,2
org.apache.commons.lang3.text.StrMatcher$CharSetMatcher,0,2,2
org.apache.commons.lang3.concurrent.AtomicSafeInitializer,4,0,4
org.apache.commons.lang3.concurrent.EventCountCircuitBreaker$StateStrategy,2,0,2
org.apache.commons.lang3.math.NumberUtils,41,363,404
org.apache.commons.lang3.text.translate.LookupTranslator,1,15,16
org.apache.commons.lang3.time.FastDatePrinter$TwoDigitNumberField,2,0,2
org.apache.commons.lang3.ClassUtils$2$1,1,9,10
