package,assertion_tested,exact_match,top_1,all_method_suggested
com.google.gson.regression,0,0,0,0
com.google.gson.internal,32,23,23,30
com.google.gson.functional,277,172,172,238
com.google.gson.internal.bind,52,14,14,52
com.google.gson.stream,279,152,152,279
com.google.gson,211,96,96,182
com.google.gson.reflect,20,0,0,0
total:,871,457,457,781
