package,assertion_tested,exact_match,top_5,all_method_suggested
org.jfree.chart.urls,64,60,64,64
org.jfree.chart.util,46,39,46,46
org.jfree.chart.plot.dial,222,186,207,207
org.jfree.chart.panel,2,0,2,2
org.jfree.chart.plot,679,536,635,679
org.jfree.chart.renderer.xy,279,221,246,278
org.jfree.chart.labels,221,182,221,221
org.jfree.chart.renderer.category,289,220,264,288
org.jfree.chart.block,135,89,123,133
org.jfree.chart.imagemap,23,23,23,23
org.jfree.chart.title,132,103,131,132
org.jfree.chart.renderer,264,169,228,244
org.jfree.chart,158,113,133,158
org.jfree.chart.annotations,190,181,190,190
org.jfree.chart.entity,72,55,72,72
org.jfree.chart.axis,411,336,363,411
org.jfree.chart.needle,53,48,53,53
total:,3240,2561,3001,3201
