method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.core.util.TypedNull.getType,0,1,1
com.thoughtworks.xstream.converters.extended.FontConverter.<init>,2,3,5
com.thoughtworks.xstream.mapper.AttributeMapper.addAttributeFor,0,5,5
com.thoughtworks.xstream.core.util.FastField.equals,4,6,10
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.currentPath,1,0,1
com.thoughtworks.xstream.converters.extended.SqlTimeConverter.fromString,0,1,1
com.thoughtworks.xstream.converters.reflection.SerializableConverter.isSerializable,0,6,6
com.thoughtworks.xstream.converters.extended.StackTraceElementConverter.<clinit>, line 37,3,9,12
com.thoughtworks.xstream.converters.enums.EnumConverter.unmarshal,5,5,10
com.thoughtworks.xstream.io.xml.XppReader.getAttribute,0,2,2
com.thoughtworks.xstream.io.binary.ReaderDepthState.setValue,0,1,1
com.thoughtworks.xstream.io.binary.Token.readId,2,9,11
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.<init>,0,1,1
com.thoughtworks.xstream.io.json.JsonWriter.getLineIndenter,0,1,1
com.thoughtworks.xstream.core.util.Primitives.primitiveType,0,1,1
com.thoughtworks.xstream.converters.basic.DateConverter.fromString,3,9,12
com.thoughtworks.xstream.io.xml.AbstractPullReader.readEvent,0,7,7
com.thoughtworks.xstream.io.xml.XomDriver.<init>,5,3,8
com.thoughtworks.xstream.converters.basic.BigDecimalConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.ReaderWrapper.getAttributeCount,1,0,1
com.thoughtworks.xstream.io.xml.Dom4JDriver.createReader,13,8,21
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeObjectOverride,0,1,1
com.thoughtworks.xstream.converters.ErrorWritingException.getShortMessage,0,1,1
com.thoughtworks.xstream.core.util.ObjectIdDictionary.hashCode,0,2,2
com.thoughtworks.xstream.MarshallingStrategy.null,0,0,0
com.thoughtworks.xstream.core.util.WeakCache.size,0,5,5
com.thoughtworks.xstream.converters.extended.RegexPatternConverter.unmarshal,0,7,7
com.thoughtworks.xstream.io.xml.xppdom.Xpp3DomBuilder.build,5,0,5
com.thoughtworks.xstream.io.xml.SaxWriter.<init>,3,4,7
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getConverterLookup,0,1,1
com.thoughtworks.xstream.core.util.Fields.find,3,5,8
com.thoughtworks.xstream.annotations.XStreamContainedType.null,0,0,0
com.thoughtworks.xstream.core.util.SerializationMembers.callReadObject,4,5,9
com.thoughtworks.xstream.mapper.XmlFriendlyMapper.realClass,0,1,1
com.thoughtworks.xstream.mapper.EnumMapper.readResolve,0,3,3
com.thoughtworks.xstream.converters.collections.MapConverter.canConvert,0,3,3
com.thoughtworks.xstream.core.JVM.isVersion,1,3,4
com.thoughtworks.xstream.converters.basic.UUIDConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.peekCallback,0,1,1
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.isXmlNameStartChar,0,1,1
com.thoughtworks.xstream.io.json.JsonWriter.endArray,0,2,2
com.thoughtworks.xstream.mapper.LocalConversionMapper.getConverterFromItemType,0,2,2
com.thoughtworks.xstream.core.JVM.<clinit>, line 74,5,35,40
com.thoughtworks.xstream.converters.extended.GregorianCalendarConverter.marshal,0,8,8
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter.<init>,0,5,5
com.thoughtworks.xstream.mapper.ImmutableTypesMapper.isReferenceable,0,3,3
com.thoughtworks.xstream.converters.extended.LocaleConverter.fromString,0,14,14
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor.<init>,1,3,4
com.thoughtworks.xstream.core.util.FastField.toString,1,0,1
com.thoughtworks.xstream.converters.instantiateNewInstance,0,4,4
com.thoughtworks.xstream.core.util.ISO8601JavaTimeConverter.toString,5,0,5
com.thoughtworks.xstream.security.NoPermission.<init>,0,1,1
com.thoughtworks.xstream.persistence.XmlMap.size,1,1,2
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.hashCode,0,4,4
com.thoughtworks.xstream.io.AttributeNameIterator.next,0,1,1
com.thoughtworks.xstream.mapper.Mapper.null,0,0,0
com.thoughtworks.xstream.converters.enums.EnumSingleValueConverter.fromString,0,2,2
com.thoughtworks.xstream.converters.extended.NamedMapConverter.marshal,0,25,25
com.thoughtworks.xstream.converters.basic.ByteConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.xml.SaxWriter.setFeature,3,0,3
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getItemType,0,1,1
com.thoughtworks.xstream.mapper.PackageAliasingMapper.readObject,2,4,6
com.thoughtworks.xstream.converters.extended.NamedMapConverter.getSingleValueConverter,1,6,7
com.thoughtworks.xstream.converters.time.LocalTimeConverter.toString,4,0,4
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.marshallField,0,1,1
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider.validateFieldAccess,0,0,0
com.thoughtworks.xstream.converters.propertyDefinedInClass,0,1,1
com.thoughtworks.xstream.mapper.AnnotationMapper.processAnnotations,2,10,12
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller.convert,0,30,30
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.decodeNode,0,1,1
com.thoughtworks.xstream.io.xml.StaxReader.<init>,2,4,6
com.thoughtworks.xstream.converters.time.PeriodConverter.canConvert,1,0,1
com.thoughtworks.xstream.io.binary.ReaderDepthState.getAttributeName,1,3,4
com.thoughtworks.xstream.converters.time.SystemClockConverter.unmarshal,4,0,4
com.thoughtworks.xstream.mapper.DefaultMapper.<clinit>, line 32,0,3,3
com.thoughtworks.xstream.converters.time.LocalDateTimeConverter.<clinit>, line 33,1,0,1
com.thoughtworks.xstream.core.DefaultConverterLookup.flushCache,6,0,6
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readFloat,1,0,1
com.thoughtworks.xstream.io.xml.StaxWriter.addAttribute,1,2,3
com.thoughtworks.xstream.io.ReaderWrapper.getNodeName,0,1,1
com.thoughtworks.xstream.converters.extended.CharsetConverter.toString,0,1,1
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getKey,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.resolveClass,4,0,4
com.thoughtworks.xstream.mapper.AnnotationMapper.processImplicitAnnotation,1,19,20
com.thoughtworks.xstream.core.util.PresortedSet.isEmpty,1,0,1
com.thoughtworks.xstream.io.xml.xppdom.XppFactory.buildDom,3,4,7
com.thoughtworks.xstream.io.xml.SaxWriter.endNode,1,7,8
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.newInstance,0,3,3
com.thoughtworks.xstream.converters.collections.BitSetConverter.marshal,0,10,10
com.thoughtworks.xstream.converters.basic.URLConverter.fromString,1,2,3
com.thoughtworks.xstream.io.binary.Token.getValue,0,1,1
com.thoughtworks.xstream.io.xml.StaxDriver.getOutputFactory,0,3,3
com.thoughtworks.xstream.converters.time.OffsetTimeConverter.canConvert,1,0,1
com.thoughtworks.xstream.converters.enums.EnumMapConverter.<init>,0,1,1
com.thoughtworks.xstream.io.xml.KXml2DomDriver.<init>,2,0,2
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.get,0,1,1
com.thoughtworks.xstream.core.util.PresortedMap.isEmpty,1,0,1
com.thoughtworks.xstream.io.WriterWrapper.endNode,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.getInstance,2,7,9
com.thoughtworks.xstream.converters.ErrorWritingException.addData,0,5,5
com.thoughtworks.xstream.io.naming.NoNameCoder.encodeAttribute,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.defaultWriteObject,0,1,1
com.thoughtworks.xstream.mapper.FieldAliasingMapper.omitField,2,0,2
com.thoughtworks.xstream.converters.time.ValueRangeConverter.unmarshal,14,0,14
com.thoughtworks.xstream.io.binary.BinaryStreamReader.appendErrors,0,0,0
com.thoughtworks.xstream.core.JVM.supportsSwing,1,0,1
com.thoughtworks.xstream.io.xml.AbstractXmlReader.unescapeXmlName,0,1,1
com.thoughtworks.xstream.converters.time.DurationConverter.fromString,5,0,5
