class,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.converters.reflection.FieldUtil15,0,1,1
com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,0,1,1
com.thoughtworks.xstream.converters.reflection.FieldUtil14,1,0,1
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller,0,31,31
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider,13,17,30
com.thoughtworks.xstream.io.xml.Xpp3Driver,1,2,3
com.thoughtworks.xstream.core.util.CustomObjectOutputStream,21,31,52
com.thoughtworks.xstream.security.TypeHierarchyPermission,1,3,4
com.thoughtworks.xstream.core.util.OrderRetainingMap,6,23,29
com.thoughtworks.xstream.annotations.AnnotationProvider,0,1,1
com.thoughtworks.xstream.io.xml.Dom4JReader,9,13,22
com.thoughtworks.xstream.io.xml.XomDriver,28,9,37
com.thoughtworks.xstream.mapper.DynamicProxyMapper,2,9,11
com.thoughtworks.xstream.converters.enums.EnumMapConverter,1,13,14
com.thoughtworks.xstream.converters.time.WeekFieldsConverter,28,0,28
com.thoughtworks.xstream.converters.basic.ByteConverter,1,4,5
com.thoughtworks.xstream.converters.extended.LocaleConverter,0,20,20
com.thoughtworks.xstream.converters.collections.TreeSetConverter,17,41,58
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriterHelper,1,2,3
com.thoughtworks.xstream.core.BaseException,1,1,2
com.thoughtworks.xstream.annotations.XStreamImplicitCollection,0,0,0
com.thoughtworks.xstream.io.xml.XppDomReader,4,15,19
com.thoughtworks.xstream.converters.collections.PropertiesConverter,0,32,32
com.thoughtworks.xstream.core.TreeMarshaller,6,31,37
com.thoughtworks.xstream.converters.ConverterRegistry,0,0,0
com.thoughtworks.xstream.io.xml.StandardStaxDriver,20,8,28
com.thoughtworks.xstream.core.TreeUnmarshaller,7,44,51
com.thoughtworks.xstream.io.xml.DomWriter,3,18,21
com.thoughtworks.xstream.converters.reflection.Sun14ReflectionProvider,4,0,4
com.thoughtworks.xstream.core.ReferenceByXPathMarshaller,0,6,6
com.thoughtworks.xstream.converters.time.ZoneIdConverter,12,0,12
com.thoughtworks.xstream.mapper.AnnotationMapper,49,233,282
com.thoughtworks.xstream.converters.extended.JavaFieldConverter,2,24,26
com.thoughtworks.xstream.security.PrimitiveTypePermission,1,2,3
com.thoughtworks.xstream.io.binary.BinaryStreamWriter,7,15,22
com.thoughtworks.xstream.io.xml.StaxWriter,9,50,59
com.thoughtworks.xstream.converters.basic.UUIDConverter,1,3,4
com.thoughtworks.xstream.InitializationException,0,2,2
com.thoughtworks.xstream.converters.time.LocalDateConverter,6,0,6
com.thoughtworks.xstream.converters.extended.SubjectConverter,0,34,34
com.thoughtworks.xstream.annotations.XStreamImplicit,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap,34,16,50
com.thoughtworks.xstream.mapper.DefaultMapper,11,33,44
com.thoughtworks.xstream.converters.basic.StringConverter,0,13,13
com.thoughtworks.xstream.mapper.ImmutableTypesMapper,1,11,12
com.thoughtworks.xstream.converters.time.YearConverter,6,0,6
com.thoughtworks.xstream.converters.collections.BitSetConverter,0,17,17
com.thoughtworks.xstream.converters.extended.ThrowableConverter,2,10,12
com.thoughtworks.xstream.io.xml.DocumentWriter,0,0,0
com.thoughtworks.xstream.io.xml.WstxDriver,5,5,10
com.thoughtworks.xstream.converters.reflection.ObjectAccessException,1,1,2
com.thoughtworks.xstream.converters.extended.SqlTimeConverter,0,2,2
com.thoughtworks.xstream.io.xml.TraxSource,24,23,47
com.thoughtworks.xstream.core.ReferenceByIdMarshallingStrategy,0,2,2
com.thoughtworks.xstream.mapper.AttributeMapper,15,30,45
com.thoughtworks.xstream.converters.ErrorWritingException,7,35,42
com.thoughtworks.xstream.security.AnyTypePermission,1,2,3
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter,34,101,135
com.thoughtworks.xstream.io.path.PathTrackingReader,0,9,9
com.thoughtworks.xstream.io.xml.KXml2Driver,1,2,3
com.thoughtworks.xstream.mapper.AttributeAliasingMapper,0,5,5
com.thoughtworks.xstream.annotations.AnnotationReflectionConverter,4,24,28
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider,46,32,78
com.thoughtworks.xstream.security.ForbiddenClassException,0,1,1
com.thoughtworks.xstream.annotations.Annotations,0,1,1
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper,2,11,13
com.thoughtworks.xstream.io.WriterWrapper,0,9,9
com.thoughtworks.xstream.persistence.XmlMap,2,7,9
com.thoughtworks.xstream.io.xml.JDom2Writer,3,13,16
com.thoughtworks.xstream.converters.extended.RegexPatternConverter,0,15,15
com.thoughtworks.xstream.mapper.CachingMapper,1,17,18
com.thoughtworks.xstream.io.xml.xppdom.XppFactory,3,6,9
com.thoughtworks.xstream.MarshallingStrategy,0,0,0
com.thoughtworks.xstream.core.util.Base64JavaUtilCodec,5,0,5
com.thoughtworks.xstream.security.ArrayTypePermission,1,2,3
com.thoughtworks.xstream.converters.reflection.SerializableConverter,25,191,216
com.thoughtworks.xstream.io.xml.SaxWriter,42,66,108
com.thoughtworks.xstream.converters.basic.CharConverter,0,11,11
com.thoughtworks.xstream.converters.extended.NamedArrayConverter,1,32,33
com.thoughtworks.xstream.io.xml.XStream11NameCoder,2,0,2
com.thoughtworks.xstream.core.util.DependencyInjectionFactory,11,103,114
com.thoughtworks.xstream.mapper.LambdaMapper,15,0,15
com.thoughtworks.xstream.io.naming.NameCoderWrapper,5,0,5
com.thoughtworks.xstream.io.xml.Dom4JXmlWriter,12,37,49
com.thoughtworks.xstream.io.xml.AbstractXmlWriter,2,2,4
com.thoughtworks.xstream.converters.reflection.FieldKey,4,25,29
com.thoughtworks.xstream.core.DefaultConverterLookup,17,23,40
com.thoughtworks.xstream.core.SequenceGenerator,0,2,2
com.thoughtworks.xstream.converters.time.SystemClockConverter,11,0,11
com.thoughtworks.xstream.core.AbstractReferenceMarshaller,4,31,35
com.thoughtworks.xstream.core.util.Base64JAXBCodec,0,2,2
com.thoughtworks.xstream.annotations.XStreamContainedType,0,0,0
com.thoughtworks.xstream.annotations.XStreamOmitField,0,0,0
com.thoughtworks.xstream.io.xml.SjsxpDriver,11,9,20
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker,7,0,7
com.thoughtworks.xstream.converters.reflection.MissingFieldException,6,0,6
com.thoughtworks.xstream.converters.basic.ShortConverter,1,4,5
com.thoughtworks.xstream.converters.basic.URIConverter,1,3,4
com.thoughtworks.xstream.io.xml.XppDomDriver,4,0,4
com.thoughtworks.xstream.io.xml.xppdom.XppDomComparator,1,65,66
com.thoughtworks.xstream.converters.time.JapaneseEraConverter,8,0,8
com.thoughtworks.xstream.converters.time.OffsetTimeConverter,11,0,11
com.thoughtworks.xstream.io.xml.xppdom.Xpp3DomBuilder,5,0,5
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter,250,0,250
com.thoughtworks.xstream.core.JVM,80,103,183
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy,12,42,54
com.thoughtworks.xstream.converters.time.HijrahDateConverter,9,0,9
com.thoughtworks.xstream.XStreamException,1,3,4
com.thoughtworks.xstream.io.xml.AbstractXmlDriver,4,1,5
com.thoughtworks.xstream.security.ExplicitTypePermission,1,10,11
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamReader,0,0,0
com.thoughtworks.xstream.converters.basic.BigIntegerConverter,0,2,2
com.thoughtworks.xstream.converters.time.YearMonthConverter,6,0,6
com.thoughtworks.xstream.mapper.ElementIgnoringMapper,0,15,15
com.thoughtworks.xstream.converters.basic.StringBufferConverter,0,2,2
com.thoughtworks.xstream.converters.ConverterMatcher,0,0,0
com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper,2,6,8
com.thoughtworks.xstream.io.AbstractDriver,6,5,11
com.thoughtworks.xstream.core.ReferencingMarshallingContext,0,0,0
com.thoughtworks.xstream.io.naming.StaticNameCoder,23,0,23
com.thoughtworks.xstream.core.util.FastField,5,12,17
com.thoughtworks.xstream.converters.extended.ToStringConverter,2,7,9
com.thoughtworks.xstream.io.xml.AbstractDocumentReader,1,19,20
com.thoughtworks.xstream.io.xml.DomReader,9,29,38
com.thoughtworks.xstream.io.xml.BEAStaxDriver,4,6,10
com.thoughtworks.xstream.converters.extended.NamedCollectionConverter,0,19,19
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter,23,37,60
com.thoughtworks.xstream.io.xml.JDom2Driver,22,9,31
com.thoughtworks.xstream.mapper.FieldAliasingMapper,4,17,21
com.thoughtworks.xstream.converters.basic.IntConverter,1,4,5
com.thoughtworks.xstream.converters.extended.StackTraceElementConverter,4,25,29
com.thoughtworks.xstream.annotations.XStreamAliasType,0,0,0
com.thoughtworks.xstream.converters.extended.JavaClassConverter,2,6,8
com.thoughtworks.xstream.core.AbstractTreeMarshallingStrategy,0,4,4
com.thoughtworks.xstream.io.xml.XppDomWriter,4,11,15
com.thoughtworks.xstream.io.json.JettisonStaxWriter,12,21,33
com.thoughtworks.xstream.core.MapBackedDataHolder,1,4,5
com.thoughtworks.xstream.converters.time.AbstractChronoLocalDateConverter,22,0,22
com.thoughtworks.xstream.io.AbstractWriter,1,5,6
com.thoughtworks.xstream.converters.basic.DateConverter,10,52,62
com.thoughtworks.xstream.converters.enums.EnumSingleValueConverter,1,6,7
com.thoughtworks.xstream.converters.SingleValueConverterWrapper,1,8,9
