class,missed_stmt,covered_stmt,total_stmts
org.jaxen.expr.UnaryExpr,0,0,0
org.jaxen.function.NotFunction,0,4,4
org.jaxen.expr.DefaultGreaterThanExpr,0,3,3
org.jaxen.util.PrecedingSiblingAxisIterator,0,25,25
org.jaxen.UnresolvableException,0,1,1
org.jaxen.expr.NodeComparator,4,56,60
org.jaxen.function.SubstringAfterFunction,0,9,9
org.jaxen.expr.DefaultXPathFactory,6,82,88
org.jaxen.saxpath.base.XPathReader,14,455,469
org.jaxen.function.NamespaceUriFunction,0,27,27
org.jaxen.expr.DefaultEqualityExpr,5,31,36
org.jaxen.expr.DefaultNotEqualsExpr,1,7,8
org.jaxen.expr.DefaultPathExpr,3,32,35
org.jaxen.expr.iter.IterableAncestorOrSelfAxis,0,2,2
org.jaxen.function.ext.EvaluateFunction,3,16,19
org.jaxen.expr.FilterExpr,0,0,0
org.jaxen.expr.UnionExpr,0,0,0
org.jaxen.expr.VariableReferenceExpr,0,0,0
org.jaxen.function.LastFunction,0,4,4
org.jaxen.JaxenConstants,0,0,0
org.jaxen.expr.FunctionCallExpr,0,0,0
org.jaxen.pattern.Pattern,4,1,5
org.jaxen.FunctionCallException,1,3,4
org.jaxen.function.RoundFunction,0,8,8
org.jaxen.function.ext.LowerFunction,2,10,12
org.jaxen.saxpath.base.XPathLexer,14,318,332
org.jaxen.saxpath.Axis,0,55,55
org.jaxen.UnsupportedAxisException,0,1,1
org.jaxen.function.SubstringFunction,1,40,41
org.jaxen.expr.DefaultUnaryExpr,1,7,8
org.jaxen.function.ContainsFunction,0,6,6
org.jaxen.expr.DefaultTextNodeStep,0,4,4
org.jaxen.function.FloorFunction,0,5,5
org.jaxen.expr.DefaultVariableReferenceExpr,2,12,14
org.jaxen.expr.XPathExpr,0,0,0
org.jaxen.pattern.UnionPattern,11,16,27
org.jaxen.xom.DocumentNavigator,106,0,106
org.jaxen.expr.iter.IterableFollowingAxis,0,2,2
org.jaxen.function.CeilingFunction,0,5,5
org.jaxen.expr.DefaultStep,1,29,30
org.jaxen.util.FollowingAxisIterator,1,26,27
org.jaxen.expr.Expr,0,0,0
org.jaxen.jdom.DocumentNavigator,126,51,177
org.jaxen.util.SingletonList,0,5,5
org.jaxen.NamedAccessNavigator,0,0,0
org.jaxen.function.TranslateFunction,1,48,49
org.jaxen.expr.DefaultLiteralExpr,1,6,7
org.jaxen.saxpath.base.Verifier,556,365,921
org.jaxen.expr.MultiplicativeExpr,0,0,0
org.jaxen.expr.iter.IterableAncestorAxis,0,2,2
org.jaxen.pattern.PatternHandler,70,0,70
org.jaxen.saxpath.XPathHandler,0,0,0
org.jaxen.xom.XOMXPath,0,1,1
org.jaxen.dom.DOMXPath,0,1,1
org.jaxen.XPathSyntaxException,0,20,20
org.jaxen.function.StringLengthFunction,1,18,19
org.jaxen.function.SumFunction,0,11,11
org.jaxen.function.NormalizeSpaceFunction,0,22,22
org.jaxen.pattern.NodeTest,0,0,0
org.jaxen.function.PositionFunction,0,4,4
org.jaxen.expr.iter.IterablePrecedingAxis,0,2,2
org.jaxen.expr.DefaultAbsoluteLocationPath,1,15,16
org.jaxen.FunctionContext,0,0,0
org.jaxen.QualifiedName,1,7,8
org.jaxen.expr.NumberExpr,0,0,0
org.jaxen.expr.RelationalExpr,0,0,0
org.jaxen.function.ext.LocaleFunctionSupport,7,24,31
org.jaxen.expr.ProcessingInstructionNodeStep,0,0,0
