package,assertion_tested,exact_match,top_1,all_method_suggested
com.thoughtworks.acceptance,102,28,28,64
com.thoughtworks.xstream.io.binary,5,0,0,0
com.thoughtworks.xstream.core.util,60,31,31,40
com.thoughtworks.xstream.converters,0,0,0,0
com.thoughtworks.xstream.converters.extended,19,5,5,6
com.thoughtworks.xstream.persistence,99,45,45,45
com.thoughtworks.xstream.io.xml,24,0,0,2
com.thoughtworks.xstream.converters.basic,30,27,27,30
com.thoughtworks.xstream.converters.javabean,11,2,2,2
com.thoughtworks.xstream.mapper,77,1,1,39
com.thoughtworks.xstream.io,13,0,0,0
com.thoughtworks.xstream.io.copy,0,0,0,0
com.thoughtworks.xstream.converters.collections,0,0,0,0
com.thoughtworks.xstream,4,1,1,3
com.thoughtworks.xstream.core,6,3,3,6
com.thoughtworks.xstream.io.json,49,30,30,41
com.thoughtworks.xstream.io.path,59,46,46,59
com.thoughtworks.xstream.io.xml.xppdom,20,0,0,20
total:,578,219,219,357
