package,assertion_tested,exact_match,top_10,all_method_suggested
org.jsoup.nodes,217,50,129,161
org.jsoup.integration,34,0,9,17
org.jsoup.safety,16,1,2,2
org.jsoup.helper,99,57,70,70
org.jsoup.parser,393,102,196,290
org.jsoup.select,339,0,3,96
total:,1098,210,409,636
