package,assertion_tested,exact_match,top_1,all_method_suggested
org.jsoup.nodes,217,50,63,161
org.jsoup.integration,34,0,0,17
org.jsoup.safety,16,1,1,2
org.jsoup.helper,99,57,57,70
org.jsoup.parser,393,102,103,290
org.jsoup.select,339,0,0,96
total:,1098,210,224,636
