package,total_assertion,exact_match(%),top_1(%),top_5(%),top_10(%),all_method_suggested(%)
org.jsoup.nodes,217,50,63,107,129,161,
org.jsoup.integration,34,0,0,4,9,17,
org.jsoup.safety,16,1,1,1,2,2,
org.jsoup.helper,99,57,57,57,70,70,
org.jsoup.parser,393,102,103,173,196,290,
org.jsoup.select,339,0,0,0,3,96,
