method,missed_branch,covered_branch,total_branch
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.enable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCurrentLocation,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.canWriteFormattedNumbers,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.unwrappingSerializer,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,3,3,6
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.newDelegatingInstance,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.version,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.withIgnorals,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve,2,2,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeFieldName,2,2,4
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.encodeXmlClassName,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextTextValue,17,11,28
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.inRoot,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getTokenLocation,0,0,0
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.throwXmlAsIOException,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.finishWrappedValue,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.getWrapperNamespace,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.readObject,0,0,0
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation,0,6,6
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputTarget,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getFormatFeatures,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData,6,0,6
com.fasterxml.jackson.dataformat.xml.XmlFactory.requiresCustomCodec,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.getOutputBuffered,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.deserializeWithType,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.isEnabled,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getDoubleValue,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.withFilterId,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.skipAttributes,3,3,6
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.createInstance,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.isMatching,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextName,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.convertToString,4,6,10
com.fasterxml.jackson.dataformat.xml.XmlFactory.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsUnwrapped,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<init>,3,17,20
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchesWrapper,2,6,8
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasFormat,0,0,0
com.fasterxml.jackson.dataformat.xml.PackageVersion.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,0,6,6
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlWriter,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartArray,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.beforeObjectEntries,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlMinimalClassNameIdResolver.typeFromId,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.overrideFormatFeatures,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlMinimalClassNameIdResolver.idFromValue,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$FixedSpaceIndenter.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.initGenerator,1,9,10
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRaw,4,2,6
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.isOutputAsText,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeUTF8String,0,0,0
com.fasterxml.jackson.dataformat.xml.PackageVersion.version,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.serialize,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getNamespaceURI,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.copy,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeLeafElement,20,4,24
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._releaseBuffers,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.init,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.util.TypeUtil.isIndexedType,3,13,16
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writePrologLinefeed,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getValueAsString,6,4,10
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.modifySerializer,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._constructDefaultPrettyPrinter,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.nextToken,5,38,43
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setXMLTextElementName,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory._decorate,6,2,8
com.fasterxml.jackson.dataformat.xml.util.StaxUtil._message,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setCurrentValue,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.instance,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeStartArray,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._serializeXmlNull,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsText,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup._findRootName,1,11,12
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setNextIsCData,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.decodeXmlClassName,2,2,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.beforeArrayValues,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.setCurrentName,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter.serializeAsField,11,15,26
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getXmlReader,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser$Feature.getMask,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getBigIntegerValue,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getCurrentName,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.matchingWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.tryMatch,2,4,6
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsTextAnnotation,1,9,10
com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,4,0,4
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.createContextual,2,12,14
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$FixedSpaceIndenter.isInline,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getNumberType,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsCData,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer._verifyDeserType,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.typeProperty,1,3,4
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createRootContext,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.disable,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.enabledByDefault,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>,5,3,8
com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatWriteFeatureType,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLOutputFactory,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer.deserialize,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.configure,2,0,2
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeStartObject,1,3,4
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$NopIndenter.isInline,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.isText,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.isInline,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.<init>,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlMapper.writeValue,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeEndElement,2,2,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._initStartElement,0,4,4
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.setDefaultUseWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getStartLocation,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTextOffset,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.setDefaultUseWrapper,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._wrapAsIOE,4,0,4
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getParsingContext,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLInputFactory,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeNull,2,6,8
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getDecimalValue,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.withIgnorals,0,0,0
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.throwAsParseException,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLTextElementName,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.setFormatFeatures,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTextDeserializer._verifyDeserType,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._allWs,1,7,8
com.fasterxml.jackson.dataformat.xml.util.XmlInfo.<init>,0,8,8
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeEndArray,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getParent,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase.serializeFieldsFiltered,19,13,32
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.toString,6,0,6
com.fasterxml.jackson.dataformat.xml.XmlFactory.hasXMLFormat,25,29,54
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._verifyValueWrite,1,1,2
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.isOutputAsAttribute,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeObjectFieldValueSeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.setXMLTextElementName,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._next,2,21,23
com.fasterxml.jackson.dataformat.xml.XmlFactory.<clinit>,0,0,0
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._handleEndElement,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.UnwrappingXmlBeanSerializer.withFilterId,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.closeCompletely,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.close,4,6,10
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCurrentName,3,3,6
com.fasterxml.jackson.dataformat.xml.XmlFactory.validXmlNameStartChar,1,1,2
com.fasterxml.jackson.dataformat.xml.util.StaxUtil._unwrap,3,3,6
com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlReader,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.checkNextIsUnwrapped,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.hasCurrentName,2,0,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeBoolean,4,4,8
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._handleEOF,4,0,4
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.close,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatName,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.enabledIn,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer.deserialize,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper.getParent,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTextCharacters,1,1,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeStringField,0,0,0
com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector.findNamespace,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream._handleRepeatElement,1,9,10
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getStaxReader,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getCurrentToken,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.handleMissingName,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._startRootArray,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._releaseBuffers,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator._reportUnimplementedStax2,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter._qname,0,2,2
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator$Feature.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getNumberValue,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.findRootName,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getIntValue,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getFloatValue,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.addVirtualWrapping,1,3,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.startWrappedValue,1,3,4
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider.createInstance,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$JaxbWrapper.isOutputAsAttribute,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.enable,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.createChildArrayContext,2,0,2
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlClassNameIdResolver.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.reset,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$NopIndenter.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.requiresCustomCodec,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeRawUTF8String,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getCodec,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.expectComma,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier.changeProperties,1,11,12
com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsAttribute,6,0,6
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._updateState,5,0,5
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase._isAttribute,1,3,4
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlMinimalClassNameIdResolver.<init>,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.configure,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.setCodec,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder$XmlClassNameIdResolver.typeFromId,0,0,0
com.fasterxml.jackson.dataformat.xml.XmlMapper.enable,0,0,0
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.readResolve,1,1,2
com.fasterxml.jackson.dataformat.xml.XmlMapper._defaultPrettyPrinter,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.hasTextCharacters,0,0,0
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeObjectEntrySeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._rootNameFromConfig,3,3,6
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTokenLocation,0,0,0
